OBJECTID,GEOID,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
247,6037190201,19,5,5,4,5,330652.707,2548.926122
248,6037189904,16,3,5,3,5,233012.6758,1946.670467
249,6037408631,10,2,3,3,2,2162094.094,6097.471631
250,6037402303,16,3,4,5,4,1377752.008,5024.651909
251,6037402002,14,3,5,2,4,2451949.355,6532.394941
252,6037402001,15,4,5,3,3,2127143.902,6822.451809
253,6037400404,6,2,2,1,1,23643553.42,25907.1136
254,6037400207,4,1,1,1,1,7944683.586,19198.051
255,6037531504,18,3,5,5,5,731111.0898,3950.552039
256,6037531503,19,4,5,5,5,1703216.203,5344.330931
257,6037206031,16,5,5,1,5,6911371.961,13644.68268
258,6037186301,13,2,5,3,3,1699130.473,6584.905851
259,6037183104,10,2,2,2,4,987483.8398,5975.820544
260,6037311801,14,5,4,2,3,861647.9805,4395.241249
261,6037980028,0,0,5,0,3,25293959.03,30290.61899
262,6037980026,0,2,1,0,1,20399084.42,37900.63181
263,6037408505,9,2,3,2,2,2904694.305,8139.271159
264,6037408504,10,2,3,3,2,2070536.84,6848.103503
265,6037406701,9,2,3,2,2,1370737.855,5012.832183
266,6037408141,10,2,3,3,2,1638360.285,6318.800178
267,6037408140,13,3,3,4,3,1338012,4955.411772
268,6037408005,8,1,3,2,2,5383485.68,9771.917842
269,6037407802,8,1,2,3,2,4571506.043,11502.48208
270,6037183103,15,3,4,4,4,950863.6641,7251.417649
271,6037127805,12,2,2,4,4,900419.2656,4865.354309
272,6037127605,13,1,4,4,4,950292.7773,3899.342947
273,6037125401,18,5,5,3,5,582637.4727,3729.113535
274,6037122122,15,5,4,4,2,1514931.5,5653.307185
275,6037120105,12,1,2,4,5,804881.0508,5806.213281
276,6037115103,9,3,1,3,2,2254153.938,8235.307723
277,6037113235,7,1,1,2,3,2108768.012,10640.41763
278,6037320202,10,2,1,4,3,2368206.5,6834.696299
279,6037980025,0,0,4,0,4,4289682.113,11064.40555
280,6037980024,11,3,5,1,2,12135145.55,17052.38631
281,6037980023,0,1,1,0,3,7650102.551,14667.93237
282,6037980022,0,1,1,0,4,9222918.227,14994.43055
283,6037980021,0,1,2,0,2,10198277.22,18934.21746
284,6037980020,0,0,2,0,1,12511177.72,22293.34824
285,6037407801,12,2,4,3,3,1561343.328,4795.258628
286,6037407602,10,2,3,3,2,1364560.957,4960.030784
287,6037407601,13,2,3,4,4,1145054.535,4308.573549
288,6037407502,10,2,3,3,2,1498670.801,5791.341545
289,6037407501,11,3,2,4,2,1654494.035,6262.821403
290,6037406902,12,1,3,3,5,1465675.09,5802.747612
291,6037406901,14,2,3,4,5,1397171.918,5972.785184
292,6037701402,10,2,4,1,3,1117513.039,4671.368106
293,6037320201,13,4,1,4,4,1350797.352,6062.765337
294,6037310602,10,2,2,2,4,1305450.855,5130.83441
295,6037310601,13,5,4,2,2,1508794.945,6919.526028
296,6037310501,14,5,4,3,2,2883759.852,9203.106499
297,6037310202,8,1,2,2,3,1340987.441,5025.072913
298,6037310201,8,1,2,1,4,1611841.262,5142.165408
299,6037302504,16,3,4,4,5,552273.8711,4215.553913
300,6037302503,16,2,5,4,5,480392.5977,3669.386622
301,6037302401,19,5,5,4,5,1996010.008,6635.42572
302,6037980015,9,4,2,2,1,7975463.805,13043.62864
303,6037430902,13,4,2,3,4,1716917.125,6248.442149
304,6037430901,13,4,2,3,4,1710139.523,5493.276257
305,6037408724,12,1,3,4,4,780200.1484,3724.184508
306,6037408723,9,1,3,3,2,1171421.332,5808.063243
307,6037408630,13,3,5,3,2,991429.1211,4648.425049
308,6037408139,11,2,3,4,2,1148623.5,4807.473594
309,6037408138,10,1,3,4,2,1295299.516,5841.616497
310,6037701304,5,1,2,1,1,2982412.363,7818.999788
311,6037700802,10,3,4,1,2,1004822.512,5555.772336
312,6037700801,11,3,4,2,2,2115142.797,7392.837688
313,6037700502,13,3,5,2,3,732913.5625,3977.07658
314,6037700501,10,2,5,1,2,867675.5,5547.248821
